sub_ID,condition,test_age,order,prompt,num_given
070715_01,1A,4.553045859,SI-DCCS-GQ,NA,NA
070715_01,1A,4.553045859,SI-DCCS-GQ,most,8
070715_01,1A,4.553045859,SI-DCCS-GQ,some,4
070715_01,1A,4.553045859,SI-DCCS-GQ,all,8
070715_01,1A,4.553045859,SI-DCCS-GQ,none,0
070715_01,1A,4.553045859,SI-DCCS-GQ,most,8
070715_01,1A,4.553045859,SI-DCCS-GQ,none,0
070715_01,1A,4.553045859,SI-DCCS-GQ,some,3
070715_03,1C,4.79945243,SI-DCCS-GQ,all,8
070715_03,1C,4.79945243,SI-DCCS-GQ,most,3
070715_03,1C,4.79945243,SI-DCCS-GQ,some,4
070715_03,1C,4.79945243,SI-DCCS-GQ,all,8
070715_03,1C,4.79945243,SI-DCCS-GQ,none,0
070715_03,1C,4.79945243,SI-DCCS-GQ,most,4
070715_03,1C,4.79945243,SI-DCCS-GQ,none,0
070715_03,1C,4.79945243,SI-DCCS-GQ,some,4
070815_01,2B,4.933607118,SI-DCCS-GQ,most,4
070815_01,2B,4.933607118,SI-DCCS-GQ,all,8
070815_01,2B,4.933607118,SI-DCCS-GQ,none,0
070815_01,2B,4.933607118,SI-DCCS-GQ,some,4
070815_01,2B,4.933607118,SI-DCCS-GQ,all,8
070815_01,2B,4.933607118,SI-DCCS-GQ,none,0
070815_01,2B,4.933607118,SI-DCCS-GQ,some,3
070815_01,2B,4.933607118,SI-DCCS-GQ,most,5
070815_04,1B,4.796714579,SI-DCCS-GQ,all,8
070815_04,1B,4.796714579,SI-DCCS-GQ,most,3
070815_04,1B,4.796714579,SI-DCCS-GQ,some,3
070815_04,1B,4.796714579,SI-DCCS-GQ,all,8
070815_04,1B,4.796714579,SI-DCCS-GQ,none,0
070815_04,1B,4.796714579,SI-DCCS-GQ,most,3
070815_04,1B,4.796714579,SI-DCCS-GQ,none,0
070815_04,1B,4.796714579,SI-DCCS-GQ,some,4
070815_07,2B,4.353182752,SI-DCCS-GQ,most,2
070815_07,2B,4.353182752,SI-DCCS-GQ,all,8
070815_07,2B,4.353182752,SI-DCCS-GQ,none,0
070815_07,2B,4.353182752,SI-DCCS-GQ,some,3
070815_07,2B,4.353182752,SI-DCCS-GQ,all,8
070815_07,2B,4.353182752,SI-DCCS-GQ,none,0
070815_07,2B,4.353182752,SI-DCCS-GQ,some,3
070815_07,2B,4.353182752,SI-DCCS-GQ,most,4
070815_08,2C,4.353182752,SI-DCCS-GQ,most,3
070815_08,2C,4.353182752,SI-DCCS-GQ,all,8
070815_08,2C,4.353182752,SI-DCCS-GQ,none,0
070815_08,2C,4.353182752,SI-DCCS-GQ,some,4
070815_08,2C,4.353182752,SI-DCCS-GQ,all,8
070815_08,2C,4.353182752,SI-DCCS-GQ,none,0
070815_08,2C,4.353182752,SI-DCCS-GQ,some,2
070815_08,2C,4.353182752,SI-DCCS-GQ,most,6
070915_02,1B,3.017111567,SI-DCCS-GQ,all,8
070915_02,1B,3.017111567,SI-DCCS-GQ,most,8
070915_02,1B,3.017111567,SI-DCCS-GQ,some,8
070915_02,1B,3.017111567,SI-DCCS-GQ,all,8
070915_02,1B,3.017111567,SI-DCCS-GQ,none,8
070915_02,1B,3.017111567,SI-DCCS-GQ,most,8
070915_02,1B,3.017111567,SI-DCCS-GQ,none,8
070915_02,1B,3.017111567,SI-DCCS-GQ,some,8
070915_03,1C,3.89596167,SI-DCCS-GQ,all,8
070915_03,1C,3.89596167,SI-DCCS-GQ,most,8
070915_03,1C,3.89596167,SI-DCCS-GQ,some,8
070915_03,1C,3.89596167,SI-DCCS-GQ,all,8
070915_03,1C,3.89596167,SI-DCCS-GQ,none,0
070915_03,1C,3.89596167,SI-DCCS-GQ,most,8
070915_03,1C,3.89596167,SI-DCCS-GQ,none,0
070915_03,1C,3.89596167,SI-DCCS-GQ,some,8
071315_02,2A,3.463381246,GQ-DCCS-SI,most,6
071315_02,2A,3.463381246,GQ-DCCS-SI,all,8
071315_02,2A,3.463381246,GQ-DCCS-SI,none,0
071315_02,2A,3.463381246,GQ-DCCS-SI,some,5
071315_02,2A,3.463381246,GQ-DCCS-SI,all,8
071315_02,2A,3.463381246,GQ-DCCS-SI,none,0
071315_02,2A,3.463381246,GQ-DCCS-SI,some,6
071315_02,2A,3.463381246,GQ-DCCS-SI,most,6
071415_01,1B,3.885010267,GQ-DCCS-SI,all,8
071415_01,1B,3.885010267,GQ-DCCS-SI,most,8
071415_01,1B,3.885010267,GQ-DCCS-SI,some,8
071415_01,1B,3.885010267,GQ-DCCS-SI,all,8
071415_01,1B,3.885010267,GQ-DCCS-SI,none,8
071415_01,1B,3.885010267,GQ-DCCS-SI,most,8
071415_01,1B,3.885010267,GQ-DCCS-SI,none,8
071415_01,1B,3.885010267,GQ-DCCS-SI,some,8
071415_02,2B,4.678986995,GQ-DCCS-SI,most,6
071415_02,2B,4.678986995,GQ-DCCS-SI,all,8
071415_02,2B,4.678986995,GQ-DCCS-SI,none,0
071415_02,2B,4.678986995,GQ-DCCS-SI,some,3
071415_02,2B,4.678986995,GQ-DCCS-SI,all,8
071415_02,2B,4.678986995,GQ-DCCS-SI,none,0
071415_02,2B,4.678986995,GQ-DCCS-SI,some,4
071415_02,2B,4.678986995,GQ-DCCS-SI,most,7
071415_03,2C,4.410677618,GQ-DCCS-SI,most,6
071415_03,2C,4.410677618,GQ-DCCS-SI,all,8
071415_03,2C,4.410677618,GQ-DCCS-SI,none,0
071415_03,2C,4.410677618,GQ-DCCS-SI,some,4
071415_03,2C,4.410677618,GQ-DCCS-SI,all,8
071415_03,2C,4.410677618,GQ-DCCS-SI,none,0
071415_03,2C,4.410677618,GQ-DCCS-SI,some,4
071415_03,2C,4.410677618,GQ-DCCS-SI,most,6
071415_04,2B,3.608487337,GQ-DCCS-SI,most,0
071415_04,2B,3.608487337,GQ-DCCS-SI,all,0
071415_04,2B,3.608487337,GQ-DCCS-SI,none,8
071415_04,2B,3.608487337,GQ-DCCS-SI,some,8
071415_04,2B,3.608487337,GQ-DCCS-SI,all,8
071415_04,2B,3.608487337,GQ-DCCS-SI,none,8
071415_04,2B,3.608487337,GQ-DCCS-SI,some,8
071415_04,2B,3.608487337,GQ-DCCS-SI,most,8
071415_05,1A,2.907597536,GQ-DCCS-SI,NA,NA
071415_05,1A,2.907597536,GQ-DCCS-SI,most,8
071415_05,1A,2.907597536,GQ-DCCS-SI,some,8
071415_05,1A,2.907597536,GQ-DCCS-SI,all,8
071415_05,1A,2.907597536,GQ-DCCS-SI,none,0
071415_05,1A,2.907597536,GQ-DCCS-SI,most,2
071415_05,1A,2.907597536,GQ-DCCS-SI,none,0
071415_05,1A,2.907597536,GQ-DCCS-SI,some,8
071615_01,1C,4.481861739,GQ-DCCS-SI,all,8
071615_01,1C,4.481861739,GQ-DCCS-SI,most,8
071615_01,1C,4.481861739,GQ-DCCS-SI,some,8
071615_01,1C,4.481861739,GQ-DCCS-SI,all,8
071615_01,1C,4.481861739,GQ-DCCS-SI,none,0
071615_01,1C,4.481861739,GQ-DCCS-SI,most,8
071615_01,1C,4.481861739,GQ-DCCS-SI,none,0
071615_01,1C,4.481861739,GQ-DCCS-SI,some,8
071615_02,2C,4.646132786,GQ-DCCS-SI,most,8
071615_02,2C,4.646132786,GQ-DCCS-SI,all,8
071615_02,2C,4.646132786,GQ-DCCS-SI,none,0
071615_02,2C,4.646132786,GQ-DCCS-SI,some,4
071615_02,2C,4.646132786,GQ-DCCS-SI,all,8
071615_02,2C,4.646132786,GQ-DCCS-SI,none,0
071615_02,2C,4.646132786,GQ-DCCS-SI,some,8
071615_02,2C,4.646132786,GQ-DCCS-SI,most,8
