sub_ID,test,test_age,condition,order,training,1_condition,1_given,2_condition,2_given,3_condition,3_given,4_condition,4_given,5_condition,5_given,6_condition,6_given,7_condition,7_given,8_condition,8_given
070715_01,GQ,4.553045859,1A,"SI, DCCS, Quantifier",1,N/A,N/A,most,8,some,4,all,8,none,0,most,8,none,0,some,3
070715_02,GQ,4.588637919,1B,"SI, DCCS, Quantifier",1,all,8,most,6,some,4,all,8,none,"0(8 strawberries, 1 orange)",most,4,none,0 (8 bananas),some,2
070715_03,GQ,4.79945243,1C,"SI, DCCS, Quantifier",1,all,8,most,3,some,4,all,8,none,0,most,4,none,0,some,4
070815_03,GQ,4.112251882,2A,"SI, DCCS, Quantifier",1,most,8,all,8,none,8,some,8,all,8,none,8,some,8,most,8
070815_04,GQ,4.796714579,1B,"SI, DCCS, Quantifier",1,all,8,most,3,some,3,all,8,none,0,most,3,none,0,some,4
070815_06,GQ,4.878850103,1A,"SI, DCCS, Quantifier",1,all,8,most,4,some,4,all,8,none,0,most,7,none,0,some,7
070915_02,GQ,3.017111567,1B,"SI, DCCS, Quantifier",1,all,8,most,8,some,8,all,8,none,8,most,8,none,8,some,8
070915_03,GQ,3.89596167,1C,"SI, DCCS, Quantifier",1,all,8,most,8,some,8,all,8,none,0 (8 oranges),most,8,none,0 (8 oranges),some,8
070915_04,GQ,3.972621492,2A,"SI, DCCS, Quantifier",1,most,6,all,8,none,0,some,5,all,8,none,0,some,4,most,4
071315_02,GQ,3.463381246,2A,"Quantifier, DCCS, SI",1,most,6,all,8,none,0,some,5,all,8,none,0,some,6,most,6
071415_01,GQ,3.882272416,1B,"Quantifier, DCCS, SI",1,all,8,most,8,some,8,all,8,none,8,most,8,none,8,some,8
071415_02,GQ,4.676249144,2B,"Quantifier, DCCS, SI",1,most,6,all,8,none,0,some,3,all,8,none,0,some,4,most,7
071415_03,GQ,4.410677618,2C,"Quantifier, DCCS, SI",1,most,6,all,8,none,0,some,4,all,8,none,0,some,4,most,6
071415_04,GQ,3.608487337,2B,"Quantifier, DCCS, SI",1,most,0 (8 strawberries),all,0 (8 oranges),none,8,some,8,all,8,none,8,some,8,most,8
071415_06,GQ,3.947980835,1C,"Quantifier, DCCS, SI",1,all,8,most,8,some,8,all,8,none,0,most,6,none,0,some,8
071615_01,GQ,4.481861739,1C,"Quantifier, DCCS, SI",1,all,8,most,8,some,8,all,8,none,0,most,8,none,0,some,8
071615_02,GQ,4.646132786,2C,"Quantifier, DCCS, SI",1,most,8,all,8,none,0,some,4,all,8,none,0 (8 bananas),some,8,most,8
072015_01,GQ,4.676249144,1A,"Quantifier, DCCS, SI",1,all,8,most,8,some,7,all,8,none,0,most,8,none,0,some,8
072015_02,GQ,4.06844627,2A,"Quantifier, DCCS, SI",1,most,7,all,8,none,8,some,8,all,8,none,8,some,8,most,8
072015_03,GQ,4.804928131,1A,"Quantifier, DCCS, SI",1,all,8,most,5,some,4,all,8,none,0,most,6,none,0,some,6
072015_04,GQ,3.518138261,2C,"Quantifier, DCCS, SI",1,most,8,all,8,none,0,some,1,all,8,none,0,some,2,most,3
072015_05,GQ,3.34017796,1B,"Quantifier, DCCS, SI",1,all,8,most,8,some,8,all,8,none,0,most,8,none,0,some,8
072015_06,GQ,3.832991102,2B,"Quantifier, DCCS, SI",1,most,6,all,8,none,0,some,3,all,8,none,0,some,4,most,4
072115_01,GQ,3.904175222,1C,"SI, DCCS, Quantifier",1,all,8,most,8,some,8,all,8,none,8,most,8,none,8,some,8
072115_02,GQ,3.605749487,2B,"SI, DCCS, Quantifier",1,most,8,all,8,none,8,some,8,all,8,none,8,some,8,most,8
072115_03,GQ,4.114989733,2A,"SI, DCCS, Quantifier",1,most,5,all,8,none,0,some,4,all,8,none,0,some,4,most,4
072215_01,GQ,3.452429843,2C,"SI, DCCS, Quantifier",1,most,8,all,8,none,0,some,2,all,8,none,0,some,8,most,8
072215_02,GQ,4.183436003,1B,"Quantifier, DCCS, SI",1,all,8,most,8,some,8,all,8,none,8,most,8,none,8,some,8
072215_03,GQ,3.378507871,1C,"Quantifier, DCCS, SI",1,all,8,most,8,some,8,all,8,none,8,most,8,none,8,some,8
072215_04,GQ,4.350444901,2B,"SI, DCCS, Quantifier",1,most,2,all,8,none,0,some,2,all,8,none,0,some,2,most,2
072215_05,GQ,4.572210815,1B,"Quantifier, DCCS, SI",1,all,8,most,6,some,4,all,8,none,0,most,6,none,0,some,4
072215_06,GQ,3.222450376,2C,"SI, DCCS, Quantifier",1,most,8,all,8,none,8,some,3,all,8,none,0,some,8,most,8
072215_07,GQ,3.830253251,1A,"SI, DCCS, Quantifier",1,all,8,most,8,some,8,all,8,none,8,most,8,none,8,some,8
072315_01,GQ,3.014373717,2A,"SI, DCCS, Quantifier",1,most,3,all,8,none,8,some,8,all,8,none,8,some,8,most,8
072315_02,GQ,3.430527036,1C,"SI, DCCS, Quantifier",1,all,8,most,8,some,8,all,8,none,8,most,8,none,8,some,8
072415_01,GQ,4.123203285,2B,"SI, DCCS, Quantifier",1,most,4,all,8,none,0,some,3,all,8,none,0,some,5,most,6
072415_02,GQ,4.161533196,2C,"SI, DCCS, Quantifier",1,most,5,all,8,none,0,some,3,all,8,none,0,some,4,most,8
072415_03,GQ,4.561259411,1A,"SI, DCCS, Quantifier",1,all,8,most,7,some,4,all,8,none,0,most,7,none,0,some,7
072415_04,GQ,4.06844627,1C,"Quantifier, DCCS, SI",1,all,8,most,4,some,3,all,8,none,0,most,3,none,0,some,3
080315_01,GQ,4.07118412,2A,"Quantifier, DCCS, SI",1,most,4,all,8,none,0,some,4,all,8,none,0,some,1,most,1
080315_02,GQ,4.07118412,1A,"Quantifier, DCCS, SI",1,all,8,most,8,some,8,all,8,none,0,most,8,none,0,some,8
080315_03,GQ,4.511978097,1B,"Quantifier, DCCS, SI",1,all,8,most,8,some,7,all,8,none,0,most,6,none,0,some,5
080315_04,GQ,4.065708419,2B,"Quantifier, DCCS, SI",1,most,4,all,8,none,0,some,3,all,8,none,0,some,2,most,1
080415_02,GQ,3.143052704,2A,"Quantifier, DCCS, SI",1,most,2,all,8,none,0,some,2,all,8,none,0,some,5,most,4
080415_03,GQ,4.101300479,2C,"SI, DCCS, Quantifier",1,most,1,all,8,none,0,some,3,all,8,none,0,some,2,most,3
080415_04,GQ,3.115674196,1A,"SI, DCCS, Quantifier",1,all,8,most,4,some,3,all,8,none,0,most,3,none,0,some,3
080415_05,GQ,4.744695414,1C,"SI, DCCS, Quantifier",1,all,8,most,8,some,8,all,8,none,8,most,8,none,8,some,8
080415_06,GQ,4.889801506,2C,"Quantifier, DCCS, SI",1,most,8,all,8,none,0,some,3,all,8,none,0,some,3,most,8
080415_07,GQ,3.370294319,1A,"SI, DCCS, Quantifier",1,all,8,most,6,some,7,all,8,none,0,most,8,none,0,some,8
080415_08,GQ,4.073921971,2A,"SI, DCCS, Quantifier",1,most,4,all,8,none,0,some,3,all,8,none,0,some,6,most,7
080415_09,GQ,3.211498973,1B,"SI, DCCS, Quantifier",1,all,8,most,8,some,8,all,8,none,8,most,8,none,8,some,8
080415_10,GQ,4.016427105,2B,"SI, DCCS, Quantifier",1,most,3,all,8,none,0,some,3,all,8,none,0,some,3,most,3
080515_01,GQ,3.646817248,2A,"Quantifier, DCCS, SI",1,most,8,all,8,none,8,some,8,all,8,none,0,some,8,most,8
080515_02,GQ,4.528405202,1C,"SI, DCCS, Quantifier",1,all,8,most,6,some,2,all,8,none,0,most,2,none,0,some,2
080515_03,GQ,4.640657084,2B,"SI, DCCS, Quantifier",1,most,4,all,8,none,0,some,5,all,8,none,0,some,5,most,7
080515_04,GQ,4.265571526,1B,"Quantifier, DCCS, SI",1,all,8,most,7,some,4,all,8,none,0,most,4,none,0,some,3
080515_05,GQ,3.589322382,2B,"SI, DCCS, Quantifier",1,most,8,all,8,none,0,some,8,all,8,none,8,some,8,most,8
080515_06,GQ,4.087611225,2C,"Quantifier, DCCS, SI",1,most,8,all,8,none,0,some,4,all,8,none,0,some,6,most,7
080515_07,GQ,4.813141684,1A,"Quantifier, DCCS, SI",1,all,8,most,5,some,5,all,8,none,0,most,5,none,0,some,6
080515_08,GQ,3.772758385,2A,"Quantifier, DCCS, SI",1,most,8,all,8,none,8,some,8,all,8,none,8,some,8,most,8
080515_09,GQ,3.874058864,1B,"SI, DCCS, Quantifier",1,all,8,most,3,some,4,all,8,none,1,most,4,none,1,some,3
080515_10,GQ,3.389459274,1A,"Quantifier, DCCS, SI",1,all,8,most,8,some,8,all,8,none,8,most,5,none,8,some,8
080515_11,GQ,3.901437372,1C,"Quantifier, DCCS, SI",1,all,8,most,8,some,8,all,8,none,0,most,7,none,0,some,8
080515_12,GQ,3.367556468,2B,"Quantifier, DCCS, SI",1,most,4,all,8,none,0,some,4,all,8,none,0,some,6,most,8
080515_13,GQ,3.47980835,2A,"SI, DCCS, Quantifier",1,most,8,all,8,none,0,some,5,all,8,none,0,some,8,most,8
080515_14,GQ,3.052703628,2C,"SI, DCCS, Quantifier",1,most,8,all,8,none,8,some,8,all,8,none,0,some,8,most,8
080515_15,GQ,4.982888433,1A,"SI, DCCS, Quantifier",1,all,8,most,4,some,2,all,8,none,0,most,5,none,0,some,4
080515_16,GQ,4.265571526,1C,"SI, DCCS, Quantifier",1,all,8,most,8,some,8,all,4,none,8,most,3,none,3,some,4
