sub_ID,test_age,condition,order,item,correct
070715_01,4.553045859,A,SI-DCCS-GQ,training,1
070715_01,4.553045859,A,SI-DCCS-GQ,training,1
070715_01,4.553045859,A,SI-DCCS-GQ,pre_1,1
070715_01,4.553045859,A,SI-DCCS-GQ,pre_2,1
070715_01,4.553045859,A,SI-DCCS-GQ,pre_3,1
070715_01,4.553045859,A,SI-DCCS-GQ,pre_4,1
070715_01,4.553045859,A,SI-DCCS-GQ,pre_5,1
070715_01,4.553045859,A,SI-DCCS-GQ,pre_6,1
070715_01,4.553045859,A,SI-DCCS-GQ,post_1,1
070715_01,4.553045859,A,SI-DCCS-GQ,post_2,1
070715_01,4.553045859,A,SI-DCCS-GQ,post_3,1
070715_01,4.553045859,A,SI-DCCS-GQ,post_4,1
070715_01,4.553045859,A,SI-DCCS-GQ,post_5,1
070715_01,4.553045859,A,SI-DCCS-GQ,post_6,1
070715_03,4.79945243,C,SI-DCCS-GQ,training,1
070715_03,4.79945243,C,SI-DCCS-GQ,training,1
070715_03,4.79945243,C,SI-DCCS-GQ,pre_1,1
070715_03,4.79945243,C,SI-DCCS-GQ,pre_2,1
070715_03,4.79945243,C,SI-DCCS-GQ,pre_3,1
070715_03,4.79945243,C,SI-DCCS-GQ,pre_4,1
070715_03,4.79945243,C,SI-DCCS-GQ,pre_5,1
070715_03,4.79945243,C,SI-DCCS-GQ,pre_6,1
070715_03,4.79945243,C,SI-DCCS-GQ,post_1,0
070715_03,4.79945243,C,SI-DCCS-GQ,post_2,0
070715_03,4.79945243,C,SI-DCCS-GQ,post_3,0
070715_03,4.79945243,C,SI-DCCS-GQ,post_4,0
070715_03,4.79945243,C,SI-DCCS-GQ,post_5,0
070715_03,4.79945243,C,SI-DCCS-GQ,post_6,0
070815_01,4.933607118,B,SI-DCCS-GQ,training,1
070815_01,4.933607118,B,SI-DCCS-GQ,training,1
070815_01,4.933607118,B,SI-DCCS-GQ,pre_1,1
070815_01,4.933607118,B,SI-DCCS-GQ,pre_2,1
070815_01,4.933607118,B,SI-DCCS-GQ,pre_3,1
070815_01,4.933607118,B,SI-DCCS-GQ,pre_4,1
070815_01,4.933607118,B,SI-DCCS-GQ,pre_5,1
070815_01,4.933607118,B,SI-DCCS-GQ,pre_6,1
070815_01,4.933607118,B,SI-DCCS-GQ,post_1,0
070815_01,4.933607118,B,SI-DCCS-GQ,post_2,0
070815_01,4.933607118,B,SI-DCCS-GQ,post_3,0
070815_01,4.933607118,B,SI-DCCS-GQ,post_4,0
070815_01,4.933607118,B,SI-DCCS-GQ,post_5,0
070815_01,4.933607118,B,SI-DCCS-GQ,post_6,0
070815_04,4.796714579,B,SI-DCCS-GQ,training,1
070815_04,4.796714579,B,SI-DCCS-GQ,training,1
070815_04,4.796714579,B,SI-DCCS-GQ,pre_1,1
070815_04,4.796714579,B,SI-DCCS-GQ,pre_2,1
070815_04,4.796714579,B,SI-DCCS-GQ,pre_3,1
070815_04,4.796714579,B,SI-DCCS-GQ,pre_4,1
070815_04,4.796714579,B,SI-DCCS-GQ,pre_5,1
070815_04,4.796714579,B,SI-DCCS-GQ,pre_6,1
070815_04,4.796714579,B,SI-DCCS-GQ,post_1,1
070815_04,4.796714579,B,SI-DCCS-GQ,post_2,1
070815_04,4.796714579,B,SI-DCCS-GQ,post_3,1
070815_04,4.796714579,B,SI-DCCS-GQ,post_4,1
070815_04,4.796714579,B,SI-DCCS-GQ,post_5,1
070815_04,4.796714579,B,SI-DCCS-GQ,post_6,1
070815_07,4.353182752,B,SI-DCCS-GQ,training,1
070815_07,4.353182752,B,SI-DCCS-GQ,training,1
070815_07,4.353182752,B,SI-DCCS-GQ,pre_1,1
070815_07,4.353182752,B,SI-DCCS-GQ,pre_2,1
070815_07,4.353182752,B,SI-DCCS-GQ,pre_3,1
070815_07,4.353182752,B,SI-DCCS-GQ,pre_4,1
070815_07,4.353182752,B,SI-DCCS-GQ,pre_5,1
070815_07,4.353182752,B,SI-DCCS-GQ,pre_6,1
070815_07,4.353182752,B,SI-DCCS-GQ,post_1,0
070815_07,4.353182752,B,SI-DCCS-GQ,post_2,0
070815_07,4.353182752,B,SI-DCCS-GQ,post_3,0
070815_07,4.353182752,B,SI-DCCS-GQ,post_4,0
070815_07,4.353182752,B,SI-DCCS-GQ,post_5,0
070815_07,4.353182752,B,SI-DCCS-GQ,post_6,0
070815_08,4.353182752,C,SI-DCCS-GQ,training,1
070815_08,4.353182752,C,SI-DCCS-GQ,training,1
070815_08,4.353182752,C,SI-DCCS-GQ,pre_1,1
070815_08,4.353182752,C,SI-DCCS-GQ,pre_2,1
070815_08,4.353182752,C,SI-DCCS-GQ,pre_3,1
070815_08,4.353182752,C,SI-DCCS-GQ,pre_4,1
070815_08,4.353182752,C,SI-DCCS-GQ,pre_5,1
070815_08,4.353182752,C,SI-DCCS-GQ,pre_6,1
070815_08,4.353182752,C,SI-DCCS-GQ,post_1,1
070815_08,4.353182752,C,SI-DCCS-GQ,post_2,1
070815_08,4.353182752,C,SI-DCCS-GQ,post_3,1
070815_08,4.353182752,C,SI-DCCS-GQ,post_4,1
070815_08,4.353182752,C,SI-DCCS-GQ,post_5,1
070815_08,4.353182752,C,SI-DCCS-GQ,post_6,1
070915_02,3.017111567,B,SI-DCCS-GQ,training,1
070915_02,3.017111567,B,SI-DCCS-GQ,training,1
070915_02,3.017111567,B,SI-DCCS-GQ,pre_1,1
070915_02,3.017111567,B,SI-DCCS-GQ,pre_2,1
070915_02,3.017111567,B,SI-DCCS-GQ,pre_3,1
070915_02,3.017111567,B,SI-DCCS-GQ,pre_4,1
070915_02,3.017111567,B,SI-DCCS-GQ,pre_5,1
070915_02,3.017111567,B,SI-DCCS-GQ,pre_6,1
070915_02,3.017111567,B,SI-DCCS-GQ,post_1,1
070915_02,3.017111567,B,SI-DCCS-GQ,post_2,0
070915_02,3.017111567,B,SI-DCCS-GQ,post_3,1
070915_02,3.017111567,B,SI-DCCS-GQ,post_4,0
070915_02,3.017111567,B,SI-DCCS-GQ,post_5,1
070915_02,3.017111567,B,SI-DCCS-GQ,post_6,0
070915_03,3.89596167,C,SI-DCCS-GQ,training,1
070915_03,3.89596167,C,SI-DCCS-GQ,training,1
070915_03,3.89596167,C,SI-DCCS-GQ,pre_1,1
070915_03,3.89596167,C,SI-DCCS-GQ,pre_2,1
070915_03,3.89596167,C,SI-DCCS-GQ,pre_3,1
070915_03,3.89596167,C,SI-DCCS-GQ,pre_4,1
070915_03,3.89596167,C,SI-DCCS-GQ,pre_5,1
070915_03,3.89596167,C,SI-DCCS-GQ,pre_6,1
070915_03,3.89596167,C,SI-DCCS-GQ,post_1,1
070915_03,3.89596167,C,SI-DCCS-GQ,post_2,1
070915_03,3.89596167,C,SI-DCCS-GQ,post_3,1
