sub_ID,test_age,condition,order,trial_type,correct
070715_01,4.553045859,A,SI-DCCS-GQ,control_all,1
070715_01,4.553045859,A,SI-DCCS-GQ,implicature,0
070715_01,4.553045859,A,SI-DCCS-GQ,control_none,1
070715_01,4.553045859,A,SI-DCCS-GQ,implicature,0
070715_01,4.553045859,A,SI-DCCS-GQ,control_all,1
070715_01,4.553045859,A,SI-DCCS-GQ,control_none,1
070715_01,4.553045859,A,SI-DCCS-GQ,implicature,0
070715_01,4.553045859,A,SI-DCCS-GQ,control_none,1
070715_01,4.553045859,A,SI-DCCS-GQ,control_all,1
070715_01,4.553045859,A,SI-DCCS-GQ,control_none,1
070715_01,4.553045859,A,SI-DCCS-GQ,implicature,0
070715_01,4.553045859,A,SI-DCCS-GQ,control_all,1
070715_01,4.553045859,A,SI-DCCS-GQ,control_none,1
070715_01,4.553045859,A,SI-DCCS-GQ,control_all,1
070715_01,4.553045859,A,SI-DCCS-GQ,implicature,0
070715_01,4.553045859,A,SI-DCCS-GQ,control_all,1
070715_01,4.553045859,A,SI-DCCS-GQ,control_none,1
070715_01,4.553045859,A,SI-DCCS-GQ,implicature,0
070715_03,4.79945243,C,SI-DCCS-GQ,implicature,1
070715_03,4.79945243,C,SI-DCCS-GQ,control_none,1
070715_03,4.79945243,C,SI-DCCS-GQ,control_all,1
070715_03,4.79945243,C,SI-DCCS-GQ,control_none,0
070715_03,4.79945243,C,SI-DCCS-GQ,implicature,1
070715_03,4.79945243,C,SI-DCCS-GQ,control_all,1
070715_03,4.79945243,C,SI-DCCS-GQ,control_none,1
070715_03,4.79945243,C,SI-DCCS-GQ,control_all,1
070715_03,4.79945243,C,SI-DCCS-GQ,implicature,0
070715_03,4.79945243,C,SI-DCCS-GQ,control_all,1
070715_03,4.79945243,C,SI-DCCS-GQ,control_none,1
070715_03,4.79945243,C,SI-DCCS-GQ,implicature,0
070715_03,4.79945243,C,SI-DCCS-GQ,control_all,1
070715_03,4.79945243,C,SI-DCCS-GQ,implicature,0
070715_03,4.79945243,C,SI-DCCS-GQ,control_none,1
070715_03,4.79945243,C,SI-DCCS-GQ,implicature,0
070715_03,4.79945243,C,SI-DCCS-GQ,control_all,1
070715_03,4.79945243,C,SI-DCCS-GQ,control_none,1
070815_01,4.933607118,B,SI-DCCS-GQ,control_none,1
070815_01,4.933607118,B,SI-DCCS-GQ,control_all,1
070815_01,4.933607118,B,SI-DCCS-GQ,implicature,1
070815_01,4.933607118,B,SI-DCCS-GQ,control_all,1
070815_01,4.933607118,B,SI-DCCS-GQ,control_none,1
070815_01,4.933607118,B,SI-DCCS-GQ,implicature,1
070815_01,4.933607118,B,SI-DCCS-GQ,control_all,1
070815_01,4.933607118,B,SI-DCCS-GQ,implicature,1
070815_01,4.933607118,B,SI-DCCS-GQ,control_none,1
070815_01,4.933607118,B,SI-DCCS-GQ,implicature,1
070815_01,4.933607118,B,SI-DCCS-GQ,control_all,1
070815_01,4.933607118,B,SI-DCCS-GQ,control_none,1
070815_01,4.933607118,B,SI-DCCS-GQ,implicature,1
070815_01,4.933607118,B,SI-DCCS-GQ,control_none,1
070815_01,4.933607118,B,SI-DCCS-GQ,control_all,1
070815_01,4.933607118,B,SI-DCCS-GQ,control_none,1
070815_01,4.933607118,B,SI-DCCS-GQ,implicature,1
070815_01,4.933607118,B,SI-DCCS-GQ,control_all,1
070815_04,4.796714579,B,SI-DCCS-GQ,control_none,1
070815_04,4.796714579,B,SI-DCCS-GQ,control_all,1
070815_04,4.796714579,B,SI-DCCS-GQ,implicature,1
070815_04,4.796714579,B,SI-DCCS-GQ,control_all,1
070815_04,4.796714579,B,SI-DCCS-GQ,control_none,1
070815_04,4.796714579,B,SI-DCCS-GQ,implicature,1
070815_04,4.796714579,B,SI-DCCS-GQ,control_all,1
070815_04,4.796714579,B,SI-DCCS-GQ,implicature,1
070815_04,4.796714579,B,SI-DCCS-GQ,control_none,1
070815_04,4.796714579,B,SI-DCCS-GQ,implicature,1
070815_04,4.796714579,B,SI-DCCS-GQ,control_all,1
070815_04,4.796714579,B,SI-DCCS-GQ,control_none,1
070815_04,4.796714579,B,SI-DCCS-GQ,implicature,1
070815_04,4.796714579,B,SI-DCCS-GQ,control_none,1
070815_04,4.796714579,B,SI-DCCS-GQ,control_all,1
070815_04,4.796714579,B,SI-DCCS-GQ,control_none,1
070815_04,4.796714579,B,SI-DCCS-GQ,implicature,1
070815_04,4.796714579,B,SI-DCCS-GQ,control_all,1
070815_07,4.353182752,B,SI-DCCS-GQ,control_none,0
070815_07,4.353182752,B,SI-DCCS-GQ,control_all,1
070815_07,4.353182752,B,SI-DCCS-GQ,implicature,0
070815_07,4.353182752,B,SI-DCCS-GQ,control_all,1
070815_07,4.353182752,B,SI-DCCS-GQ,control_none,0
070815_07,4.353182752,B,SI-DCCS-GQ,implicature,0
070815_07,4.353182752,B,SI-DCCS-GQ,control_all,1
070815_07,4.353182752,B,SI-DCCS-GQ,implicature,0
070815_07,4.353182752,B,SI-DCCS-GQ,control_none,0
070815_07,4.353182752,B,SI-DCCS-GQ,implicature,0
070815_07,4.353182752,B,SI-DCCS-GQ,control_all,1
070815_07,4.353182752,B,SI-DCCS-GQ,control_none,0
070815_07,4.353182752,B,SI-DCCS-GQ,implicature,0
070815_07,4.353182752,B,SI-DCCS-GQ,control_none,1
070815_07,4.353182752,B,SI-DCCS-GQ,control_all,1
070815_07,4.353182752,B,SI-DCCS-GQ,control_none,0
070815_07,4.353182752,B,SI-DCCS-GQ,implicature,0
070815_07,4.353182752,B,SI-DCCS-GQ,control_all,1
070815_08,4.353182752,C,SI-DCCS-GQ,implicature,1
070815_08,4.353182752,C,SI-DCCS-GQ,control_none,1
070815_08,4.353182752,C,SI-DCCS-GQ,control_all,1
070815_08,4.353182752,C,SI-DCCS-GQ,control_none,1
070815_08,4.353182752,C,SI-DCCS-GQ,implicature,1
070815_08,4.353182752,C,SI-DCCS-GQ,control_all,1
070815_08,4.353182752,C,SI-DCCS-GQ,control_none,1
070815_08,4.353182752,C,SI-DCCS-GQ,control_all,1
070815_08,4.353182752,C,SI-DCCS-GQ,implicature,1
070815_08,4.353182752,C,SI-DCCS-GQ,control_all,1
070815_08,4.353182752,C,SI-DCCS-GQ,control_none,1
070815_08,4.353182752,C,SI-DCCS-GQ,implicature,1
070815_08,4.353182752,C,SI-DCCS-GQ,control_all,1
070815_08,4.353182752,C,SI-DCCS-GQ,implicature,1
070815_08,4.353182752,C,SI-DCCS-GQ,control_none,1
070815_08,4.353182752,C,SI-DCCS-GQ,implicature,1
070815_08,4.353182752,C,SI-DCCS-GQ,control_all,1
070815_08,4.353182752,C,SI-DCCS-GQ,control_none,1
070915_02,3.017111567,B,SI-DCCS-GQ,control_none,0
070915_02,3.017111567,B,SI-DCCS-GQ,control_all,0
070915_02,3.017111567,B,SI-DCCS-GQ,implicature,0
070915_02,3.017111567,B,SI-DCCS-GQ,control_all,1
070915_02,3.017111567,B,SI-DCCS-GQ,control_none,0
070915_02,3.017111567,B,SI-DCCS-GQ,implicature,1
070915_02,3.017111567,B,SI-DCCS-GQ,control_all,1
070915_02,3.017111567,B,SI-DCCS-GQ,implicature,0
070915_02,3.017111567,B,SI-DCCS-GQ,control_none,0
070915_02,3.017111567,B,SI-DCCS-GQ,implicature,0
070915_02,3.017111567,B,SI-DCCS-GQ,control_all,1
070915_02,3.017111567,B,SI-DCCS-GQ,control_none,0
070915_02,3.017111567,B,SI-DCCS-GQ,implicature,1
070915_02,3.017111567,B,SI-DCCS-GQ,control_none,0
070915_02,3.017111567,B,SI-DCCS-GQ,control_all,1
070915_02,3.017111567,B,SI-DCCS-GQ,control_none,0
070915_02,3.017111567,B,SI-DCCS-GQ,implicature,0
070915_02,3.017111567,B,SI-DCCS-GQ,control_all,1
070915_03,3.89596167,C,SI-DCCS-GQ,implicature,0
070915_03,3.89596167,C,SI-DCCS-GQ,control_none,1
070915_03,3.89596167,C,SI-DCCS-GQ,control_all,1
070915_03,3.89596167,C,SI-DCCS-GQ,control_none,1
070915_03,3.89596167,C,SI-DCCS-GQ,implicature,0
070915_03,3.89596167,C,SI-DCCS-GQ,control_all,1
070915_03,3.89596167,C,SI-DCCS-GQ,control_none,1
070915_03,3.89596167,C,SI-DCCS-GQ,control_all,1
070915_03,3.89596167,C,SI-DCCS-GQ,implicature,0
070915_03,3.89596167,C,SI-DCCS-GQ,control_all,1
070915_03,3.89596167,C,SI-DCCS-GQ,control_none,1
070915_03,3.89596167,C,SI-DCCS-GQ,implicature,0
070915_03,3.89596167,C,SI-DCCS-GQ,control_all,1
070915_03,3.89596167,C,SI-DCCS-GQ,implicature,0
070915_03,3.89596167,C,SI-DCCS-GQ,control_none,1
